KeyID,ClusterGroup,Date,WeekDay,Month
416_cloc,0,2016-01-04,Monday,1
416_cloc,1,2016-01-05,Tuesday,1
416_cloc,2,2016-02-01,Monday,2
416_cloc,2,2016-05-17,Tuesday,5
416_cloc,2,2016-05-26,Thursday,5
416_cloc,2,2016-11-07,Monday,11
416_cloc,2,2016-02-10,Wednesday,2
416_cloc,2,2016-02-09,Tuesday,2
416_cloc,2,2016-10-26,Wednesday,10
416_cloc,2,2016-10-10,Monday,10
416_cloc,2,2016-01-11,Monday,1
416_cloc,2,2016-07-12,Tuesday,7
416_cloc,2,2016-09-26,Monday,9
416_cloc,2,2016-09-21,Wednesday,9
416_cloc,2,2016-01-07,Thursday,1
416_cloc,2,2016-05-16,Monday,5
416_cloc,3,2016-02-11,Thursday,2
416_cloc,3,2016-11-28,Monday,11
416_cloc,3,2016-02-05,Friday,2
416_cloc,3,2016-12-02,Friday,12
416_cloc,3,2016-05-04,Wednesday,5
416_cloc,3,2016-07-25,Monday,7
416_cloc,3,2016-05-13,Friday,5
416_cloc,3,2016-12-13,Tuesday,12
416_cloc,3,2016-06-09,Thursday,6
416_cloc,3,2016-06-16,Thursday,6
416_cloc,3,2016-09-19,Monday,9
416_cloc,3,2016-09-12,Monday,9
416_cloc,3,2016-09-05,Monday,9
416_cloc,3,2016-05-07,Saturday,5
416_cloc,3,2016-06-06,Monday,6
416_cloc,3,2016-09-09,Friday,9
416_cloc,3,2016-01-08,Friday,1
416_cloc,3,2016-12-27,Tuesday,12
416_cloc,3,2016-01-26,Tuesday,1
416_cloc,3,2016-01-25,Monday,1
416_cloc,3,2016-01-12,Tuesday,1
416_cloc,3,2016-01-14,Thursday,1
416_cloc,3,2016-01-13,Wednesday,1
416_cloc,4,2016-05-27,Friday,5
416_cloc,4,2016-11-18,Friday,11
416_cloc,4,2016-05-24,Tuesday,5
416_cloc,4,2016-01-15,Friday,1
416_cloc,4,2016-05-09,Monday,5
416_cloc,4,2016-06-10,Friday,6
416_cloc,4,2016-06-15,Wednesday,6
416_cloc,4,2016-06-22,Wednesday,6
416_cloc,4,2016-11-22,Tuesday,11
416_cloc,4,2016-12-20,Tuesday,12
416_cloc,4,2016-07-06,Wednesday,7
416_cloc,4,2016-09-27,Tuesday,9
416_cloc,4,2016-09-22,Thursday,9
416_cloc,4,2016-12-30,Friday,12
416_cloc,4,2016-12-29,Thursday,12
416_cloc,4,2016-09-06,Tuesday,9
416_cloc,4,2016-10-23,Sunday,10
416_cloc,4,2016-01-20,Wednesday,1
416_cloc,5,2016-01-22,Friday,1
416_cloc,6,2016-01-30,Saturday,1
416_cloc,7,2016-02-12,Friday,2
416_cloc,8,2016-02-13,Saturday,2
416_cloc,9,2016-05-11,Wednesday,5
416_cloc,10,2016-05-30,Monday,5
416_cloc,10,2016-11-03,Thursday,11
416_cloc,10,2016-02-15,Monday,2
416_cloc,10,2016-05-10,Tuesday,5
416_cloc,10,2016-06-08,Wednesday,6
416_cloc,10,2016-10-12,Wednesday,10
416_cloc,10,2016-10-11,Tuesday,10
416_cloc,10,2016-01-27,Wednesday,1
416_cloc,10,2016-11-21,Monday,11
416_cloc,10,2016-07-19,Tuesday,7
416_cloc,10,2016-11-02,Wednesday,11
416_cloc,10,2016-01-18,Monday,1
416_cloc,10,2016-11-15,Tuesday,11
416_cloc,10,2016-05-12,Thursday,5
416_cloc,10,2016-05-18,Wednesday,5
416_cloc,10,2016-07-28,Thursday,7
416_cloc,11,2016-07-29,Friday,7
416_cloc,11,2016-01-09,Saturday,1
416_cloc,11,2016-10-08,Saturday,10
416_cloc,11,2016-07-30,Saturday,7
416_cloc,11,2016-07-03,Sunday,7
416_cloc,11,2016-09-02,Friday,9
416_cloc,11,2016-09-03,Saturday,9
416_cloc,11,2016-09-04,Sunday,9
416_cloc,11,2016-09-10,Saturday,9
416_cloc,11,2016-05-14,Saturday,5
416_cloc,11,2016-06-26,Sunday,6
416_cloc,11,2016-05-28,Saturday,5
416_cloc,12,2016-09-25,Sunday,9
416_cloc,12,2016-11-05,Saturday,11
416_cloc,12,2016-06-02,Thursday,6
416_cloc,12,2016-01-24,Sunday,1
416_cloc,12,2016-11-26,Saturday,11
416_cloc,12,2016-11-06,Sunday,11
416_cloc,12,2016-09-24,Saturday,9
416_cloc,12,2016-07-16,Saturday,7
416_cloc,12,2016-11-12,Saturday,11
416_cloc,12,2016-09-18,Sunday,9
416_cloc,12,2016-09-17,Saturday,9
416_cloc,12,2016-01-03,Sunday,1
416_cloc,12,2016-05-22,Sunday,5
416_cloc,12,2016-05-20,Friday,5
416_cloc,12,2016-11-19,Saturday,11
416_cloc,12,2016-06-04,Saturday,6
416_cloc,12,2016-06-05,Sunday,6
416_cloc,12,2016-06-12,Sunday,6
416_cloc,12,2016-05-03,Tuesday,5
416_cloc,12,2016-12-18,Sunday,12
416_cloc,12,2016-10-29,Saturday,10
416_cloc,12,2016-06-18,Saturday,6
416_cloc,12,2016-06-19,Sunday,6
416_cloc,12,2016-06-17,Friday,6
416_cloc,12,2016-11-01,Tuesday,11
416_cloc,12,2016-05-08,Sunday,5
416_cloc,12,2016-12-17,Saturday,12
416_cloc,12,2016-10-16,Sunday,10
416_cloc,12,2016-05-15,Sunday,5
416_cloc,13,2016-02-04,Thursday,2
416_cloc,13,2016-08-05,Friday,8
416_cloc,13,2016-08-04,Thursday,8
416_cloc,13,2016-08-03,Wednesday,8
416_cloc,13,2016-08-02,Tuesday,8
416_cloc,13,2016-01-29,Friday,1
416_cloc,13,2016-06-07,Tuesday,6
416_cloc,13,2016-10-31,Monday,10
416_cloc,13,2016-09-08,Thursday,9
416_cloc,13,2016-12-28,Wednesday,12
416_cloc,13,2016-01-28,Thursday,1
416_cloc,13,2016-06-24,Friday,6
416_cloc,13,2016-06-14,Tuesday,6
416_cloc,13,2016-06-29,Wednesday,6
416_cloc,14,2016-12-26,Monday,12
416_cloc,14,2016-12-25,Sunday,12
416_cloc,14,2016-11-27,Sunday,11
416_cloc,14,2016-09-11,Sunday,9
416_cloc,14,2016-10-22,Saturday,10
416_cloc,14,2016-10-09,Sunday,10
416_cloc,14,2016-12-24,Saturday,12
416_cloc,14,2016-11-13,Sunday,11
416_cloc,14,2016-11-20,Sunday,11
416_cloc,14,2016-12-31,Saturday,12
416_cloc,14,2016-07-02,Saturday,7
416_cloc,14,2016-01-02,Saturday,1
416_cloc,14,2016-01-06,Wednesday,1
416_cloc,14,2016-01-10,Sunday,1
416_cloc,14,2016-01-16,Saturday,1
416_cloc,14,2016-01-17,Sunday,1
416_cloc,14,2016-07-31,Sunday,7
416_cloc,14,2016-06-11,Saturday,6
416_cloc,14,2016-05-21,Saturday,5
416_cloc,14,2016-05-06,Friday,5
416_cloc,14,2016-02-07,Sunday,2
416_cloc,14,2016-05-29,Sunday,5
416_cloc,14,2016-02-14,Sunday,2
416_cloc,15,2016-05-25,Wednesday,5
416_cloc,15,2016-06-30,Thursday,6
416_cloc,15,2016-11-09,Wednesday,11
416_cloc,15,2016-05-31,Tuesday,5
416_cloc,15,2016-06-01,Wednesday,6
416_cloc,15,2016-06-28,Tuesday,6
416_cloc,15,2016-06-27,Monday,6
416_cloc,15,2016-09-07,Wednesday,9
416_cloc,15,2016-06-03,Friday,6
416_cloc,15,2016-06-25,Saturday,6
416_cloc,15,2016-07-04,Monday,7
416_cloc,15,2016-07-05,Tuesday,7
416_cloc,15,2016-06-23,Thursday,6
416_cloc,15,2016-05-05,Thursday,5
416_cloc,15,2016-07-15,Friday,7
416_cloc,15,2016-07-17,Sunday,7
416_cloc,15,2016-07-18,Monday,7
416_cloc,15,2016-01-19,Tuesday,1
416_cloc,15,2016-07-26,Tuesday,7
416_cloc,15,2016-07-27,Wednesday,7
416_cloc,15,2016-07-01,Friday,7
416_cloc,16,2016-07-07,Thursday,7
416_cloc,17,2016-07-11,Monday,7
416_cloc,18,2016-07-13,Wednesday,7
416_cloc,19,2016-09-01,Thursday,9
416_cloc,20,2016-10-27,Thursday,10
416_cloc,20,2016-11-10,Thursday,11
416_cloc,20,2016-10-14,Friday,10
416_cloc,20,2016-10-19,Wednesday,10
416_cloc,20,2016-02-08,Monday,2
416_cloc,20,2016-09-15,Thursday,9
416_cloc,20,2016-02-03,Wednesday,2
416_cloc,20,2016-06-13,Monday,6
416_cloc,20,2016-11-30,Wednesday,11
416_cloc,20,2016-06-21,Tuesday,6
416_cloc,20,2016-08-01,Monday,8
416_cloc,20,2016-11-23,Wednesday,11
416_cloc,20,2016-11-16,Wednesday,11
416_cloc,21,2016-10-13,Thursday,10
416_cloc,21,2016-05-19,Thursday,5
416_cloc,21,2016-11-29,Tuesday,11
416_cloc,21,2016-11-17,Thursday,11
416_cloc,21,2016-12-19,Monday,12
416_cloc,21,2016-10-24,Monday,10
416_cloc,21,2016-11-14,Monday,11
416_cloc,22,2016-10-15,Saturday,10
416_cloc,23,2016-10-20,Thursday,10
416_cloc,24,2016-12-16,Friday,12
416_cloc,24,2016-12-21,Wednesday,12
416_cloc,24,2016-12-22,Thursday,12
416_cloc,24,2016-12-23,Friday,12
416_cloc,24,2016-09-16,Friday,9
416_cloc,24,2016-12-01,Thursday,12
416_cloc,24,2016-09-14,Wednesday,9
416_cloc,24,2016-09-13,Tuesday,9
416_cloc,24,2016-10-28,Friday,10
416_cloc,24,2016-02-06,Saturday,2
416_cloc,24,2016-05-23,Monday,5
416_cloc,24,2016-07-14,Thursday,7
416_cloc,24,2016-10-07,Friday,10
416_cloc,24,2016-11-11,Friday,11
416_cloc,24,2016-06-20,Monday,6
416_cloc,24,2016-11-04,Friday,11
416_cloc,24,2016-09-23,Friday,9
416_cloc,25,2016-10-30,Sunday,10
416_cloc,26,2016-01-21,Thursday,1
416_cloc,26,2016-02-02,Tuesday,2
416_cloc,26,2016-10-18,Tuesday,10
416_cloc,26,2016-10-21,Friday,10
416_cloc,26,2016-09-20,Tuesday,9
416_cloc,26,2016-10-25,Tuesday,10
416_cloc,26,2016-11-08,Tuesday,11
416_cloc,26,2016-10-17,Monday,10
416_cloc,27,2016-11-24,Thursday,11
416_cloc,28,2016-11-25,Friday,11
416_cloc,29,2016-12-03,Saturday,12
416_cloc,30,2016-12-04,Sunday,12
416_cloc,31,2016-12-06,Tuesday,12
416_cloc,32,2016-01-31,Sunday,1
416_cloc,32,2016-12-15,Thursday,12
416_cloc,32,2016-12-07,Wednesday,12
416_cloc,32,2016-12-05,Monday,12
416_cloc,33,2016-12-08,Thursday,12
416_cloc,34,2016-12-09,Friday,12
416_cloc,35,2016-12-12,Monday,12
416_cloc,35,2016-01-23,Saturday,1
416_cloc,35,2016-01-01,Friday,1
416_cloc,36,2016-12-14,Wednesday,12
489_cloc,0,2016-01-15,Friday,1
489_cloc,0,2016-01-28,Thursday,1
489_cloc,0,2016-01-05,Tuesday,1
489_cloc,0,2016-02-05,Friday,2
489_cloc,0,2016-05-27,Friday,5
489_cloc,0,2016-01-08,Friday,1
489_cloc,0,2016-02-08,Monday,2
489_cloc,0,2016-01-22,Friday,1
489_cloc,0,2016-01-11,Monday,1
489_cloc,0,2016-01-20,Wednesday,1
489_cloc,0,2016-01-14,Thursday,1
489_cloc,1,2016-01-27,Wednesday,1
489_cloc,1,2016-02-01,Monday,2
489_cloc,1,2016-02-15,Monday,2
489_cloc,1,2016-05-13,Friday,5
489_cloc,1,2016-12-20,Tuesday,12
489_cloc,1,2016-05-19,Thursday,5
489_cloc,1,2016-05-23,Monday,5
489_cloc,2,2016-05-03,Tuesday,5
489_cloc,3,2016-05-04,Wednesday,5
489_cloc,4,2016-05-07,Saturday,5
489_cloc,4,2016-05-14,Saturday,5
489_cloc,4,2016-02-13,Saturday,2
489_cloc,4,2016-05-21,Saturday,5
489_cloc,4,2016-12-17,Saturday,12
489_cloc,4,2016-05-28,Saturday,5
489_cloc,4,2016-11-26,Saturday,11
489_cloc,4,2016-06-04,Saturday,6
489_cloc,4,2016-06-11,Saturday,6
489_cloc,4,2016-12-03,Saturday,12
489_cloc,4,2016-11-19,Saturday,11
489_cloc,4,2016-10-29,Saturday,10
489_cloc,4,2016-01-16,Saturday,1
489_cloc,4,2016-01-03,Sunday,1
489_cloc,4,2016-09-03,Saturday,9
489_cloc,4,2016-01-23,Saturday,1
489_cloc,4,2016-11-12,Saturday,11
489_cloc,4,2016-01-09,Saturday,1
489_cloc,5,2016-05-25,Wednesday,5
489_cloc,6,2016-05-11,Wednesday,5
489_cloc,6,2016-05-12,Thursday,5
489_cloc,6,2016-05-18,Wednesday,5
489_cloc,6,2016-05-26,Thursday,5
489_cloc,6,2016-06-06,Monday,6
489_cloc,6,2016-06-07,Tuesday,6
489_cloc,6,2016-06-13,Monday,6
489_cloc,6,2016-05-31,Tuesday,5
489_cloc,6,2016-05-10,Tuesday,5
489_cloc,6,2016-01-26,Tuesday,1
489_cloc,6,2016-05-05,Thursday,5
489_cloc,6,2016-02-10,Wednesday,2
489_cloc,6,2016-02-11,Thursday,2
489_cloc,6,2016-01-21,Thursday,1
489_cloc,6,2016-02-03,Wednesday,2
489_cloc,6,2016-02-04,Thursday,2
489_cloc,6,2016-01-25,Monday,1
489_cloc,6,2016-02-12,Friday,2
489_cloc,7,2016-07-03,Sunday,7
489_cloc,7,2016-10-09,Sunday,10
489_cloc,7,2016-09-17,Saturday,9
489_cloc,7,2016-06-02,Thursday,6
489_cloc,7,2016-09-24,Saturday,9
489_cloc,7,2016-07-30,Saturday,7
489_cloc,7,2016-10-23,Sunday,10
489_cloc,7,2016-12-26,Monday,12
489_cloc,7,2016-06-12,Sunday,6
489_cloc,7,2016-11-01,Tuesday,11
489_cloc,7,2016-06-26,Sunday,6
489_cloc,7,2016-06-24,Friday,6
489_cloc,7,2016-06-18,Saturday,6
489_cloc,7,2016-07-16,Saturday,7
489_cloc,7,2016-06-05,Sunday,6
489_cloc,7,2016-01-06,Wednesday,1
489_cloc,7,2016-07-31,Sunday,7
489_cloc,7,2016-05-08,Sunday,5
489_cloc,7,2016-10-15,Saturday,10
489_cloc,7,2016-06-19,Sunday,6
489_cloc,7,2016-09-04,Sunday,9
489_cloc,7,2016-02-14,Sunday,2
489_cloc,7,2016-09-25,Sunday,9
489_cloc,7,2016-09-11,Sunday,9
489_cloc,7,2016-09-10,Saturday,9
489_cloc,7,2016-10-16,Sunday,10
489_cloc,7,2016-10-08,Saturday,10
489_cloc,7,2016-07-17,Sunday,7
489_cloc,7,2016-12-25,Sunday,12
489_cloc,7,2016-11-05,Saturday,11
489_cloc,7,2016-05-15,Sunday,5
489_cloc,8,2016-06-08,Wednesday,6
489_cloc,8,2016-05-17,Tuesday,5
489_cloc,8,2016-02-02,Tuesday,2
489_cloc,8,2016-05-24,Tuesday,5
489_cloc,8,2016-12-01,Thursday,12
489_cloc,8,2016-06-09,Thursday,6
489_cloc,9,2016-06-23,Thursday,6
489_cloc,9,2016-06-01,Wednesday,6
489_cloc,9,2016-05-09,Monday,5
489_cloc,9,2016-06-15,Wednesday,6
489_cloc,9,2016-05-06,Friday,5
489_cloc,9,2016-01-29,Friday,1
489_cloc,9,2016-05-16,Monday,5
489_cloc,9,2016-05-30,Monday,5
489_cloc,10,2016-10-28,Friday,10
489_cloc,10,2016-10-14,Friday,10
489_cloc,10,2016-06-20,Monday,6
489_cloc,10,2016-10-12,Wednesday,10
489_cloc,10,2016-10-10,Monday,10
489_cloc,10,2016-11-22,Tuesday,11
489_cloc,10,2016-11-11,Friday,11
489_cloc,10,2016-01-19,Tuesday,1
489_cloc,10,2016-11-21,Monday,11
489_cloc,10,2016-11-29,Tuesday,11
489_cloc,10,2016-01-07,Thursday,1
489_cloc,10,2016-09-12,Monday,9
489_cloc,10,2016-01-04,Monday,1
489_cloc,10,2016-12-22,Thursday,12
489_cloc,10,2016-05-20,Friday,5
489_cloc,10,2016-07-27,Wednesday,7
489_cloc,10,2016-07-15,Friday,7
489_cloc,10,2016-06-03,Friday,6
489_cloc,10,2016-07-02,Saturday,7
489_cloc,10,2016-10-27,Thursday,10
489_cloc,10,2016-11-25,Friday,11
489_cloc,10,2016-06-16,Thursday,6
489_cloc,10,2016-07-06,Wednesday,7
489_cloc,10,2016-06-17,Friday,6
489_cloc,10,2016-07-14,Thursday,7
489_cloc,10,2016-06-10,Friday,6
489_cloc,11,2016-07-07,Thursday,7
489_cloc,12,2016-07-11,Monday,7
489_cloc,13,2016-09-01,Thursday,9
489_cloc,14,2016-09-22,Thursday,9
489_cloc,14,2016-11-16,Wednesday,11
489_cloc,14,2016-09-26,Monday,9
489_cloc,14,2016-06-29,Wednesday,6
489_cloc,14,2016-09-15,Thursday,9
489_cloc,14,2016-09-02,Friday,9
489_cloc,14,2016-07-05,Tuesday,7
489_cloc,14,2016-10-11,Tuesday,10
489_cloc,14,2016-07-29,Friday,7
489_cloc,15,2016-10-25,Tuesday,10
489_cloc,15,2016-10-07,Friday,10
489_cloc,15,2016-11-14,Monday,11
489_cloc,15,2016-10-26,Wednesday,10
489_cloc,15,2016-11-07,Monday,11
489_cloc,15,2016-10-13,Thursday,10
489_cloc,15,2016-10-20,Thursday,10
489_cloc,15,2016-10-18,Tuesday,10
489_cloc,15,2016-09-21,Wednesday,9
489_cloc,15,2016-10-21,Friday,10
489_cloc,15,2016-09-19,Monday,9
489_cloc,15,2016-06-27,Monday,6
489_cloc,15,2016-07-01,Friday,7
489_cloc,15,2016-09-16,Friday,9
489_cloc,15,2016-11-28,Monday,11
489_cloc,15,2016-12-12,Monday,12
489_cloc,15,2016-09-13,Tuesday,9
489_cloc,15,2016-07-13,Wednesday,7
489_cloc,15,2016-09-07,Wednesday,9
489_cloc,15,2016-01-18,Monday,1
489_cloc,15,2016-12-02,Friday,12
489_cloc,15,2016-06-22,Wednesday,6
489_cloc,15,2016-06-30,Thursday,6
489_cloc,15,2016-12-16,Friday,12
489_cloc,16,2016-11-18,Friday,11
489_cloc,16,2016-06-14,Tuesday,6
489_cloc,16,2016-11-03,Thursday,11
489_cloc,16,2016-10-24,Monday,10
489_cloc,16,2016-02-09,Tuesday,2
489_cloc,16,2016-12-19,Monday,12
489_cloc,16,2016-01-13,Wednesday,1
489_cloc,16,2016-01-12,Tuesday,1
489_cloc,16,2016-11-17,Thursday,11
489_cloc,16,2016-11-24,Thursday,11
489_cloc,16,2016-11-10,Thursday,11
489_cloc,16,2016-07-25,Monday,7
489_cloc,16,2016-07-26,Tuesday,7
489_cloc,16,2016-09-23,Friday,9
489_cloc,16,2016-10-17,Monday,10
489_cloc,16,2016-12-05,Monday,12
489_cloc,17,2016-10-30,Sunday,10
489_cloc,18,2016-12-04,Sunday,12
489_cloc,19,2016-11-30,Wednesday,11
489_cloc,19,2016-11-15,Tuesday,11
489_cloc,19,2016-09-27,Tuesday,9
489_cloc,19,2016-12-23,Friday,12
489_cloc,19,2016-09-06,Tuesday,9
489_cloc,19,2016-11-23,Wednesday,11
489_cloc,19,2016-12-06,Tuesday,12
489_cloc,19,2016-12-07,Wednesday,12
489_cloc,19,2016-07-12,Tuesday,7
489_cloc,19,2016-11-04,Friday,11
489_cloc,19,2016-12-30,Friday,12
489_cloc,19,2016-12-15,Thursday,12
489_cloc,19,2016-07-19,Tuesday,7
489_cloc,19,2016-10-31,Monday,10
489_cloc,19,2016-06-21,Tuesday,6
489_cloc,19,2016-12-14,Wednesday,12
489_cloc,19,2016-10-19,Wednesday,10
489_cloc,19,2016-07-04,Monday,7
489_cloc,19,2016-09-20,Tuesday,9
489_cloc,20,2016-12-08,Thursday,12
489_cloc,21,2016-12-18,Sunday,12
489_cloc,21,2016-11-27,Sunday,11
489_cloc,21,2016-01-01,Friday,1
489_cloc,21,2016-11-13,Sunday,11
489_cloc,21,2016-05-29,Sunday,5
489_cloc,21,2016-05-22,Sunday,5
489_cloc,21,2016-11-06,Sunday,11
489_cloc,21,2016-02-07,Sunday,2
489_cloc,21,2016-10-22,Saturday,10
489_cloc,21,2016-09-18,Sunday,9
489_cloc,21,2016-02-06,Saturday,2
489_cloc,21,2016-01-10,Sunday,1
489_cloc,21,2016-11-20,Sunday,11
489_cloc,21,2016-01-17,Sunday,1
489_cloc,21,2016-01-24,Sunday,1
489_cloc,21,2016-01-30,Saturday,1
489_cloc,21,2016-01-31,Sunday,1
489_cloc,22,2016-12-24,Saturday,12
489_cloc,22,2016-12-27,Tuesday,12
489_cloc,22,2016-12-28,Wednesday,12
489_cloc,22,2016-12-29,Thursday,12
489_cloc,22,2016-01-02,Saturday,1
489_cloc,22,2016-06-25,Saturday,6
489_cloc,22,2016-12-09,Friday,12
489_cloc,22,2016-06-28,Tuesday,6
489_cloc,22,2016-11-09,Wednesday,11
489_cloc,22,2016-11-08,Tuesday,11
489_cloc,22,2016-11-02,Wednesday,11
489_cloc,22,2016-09-14,Wednesday,9
489_cloc,22,2016-09-09,Friday,9
489_cloc,22,2016-09-08,Thursday,9
489_cloc,22,2016-12-13,Tuesday,12
489_cloc,22,2016-09-05,Monday,9
489_cloc,22,2016-08-04,Thursday,8
489_cloc,22,2016-08-03,Wednesday,8
489_cloc,22,2016-08-02,Tuesday,8
489_cloc,22,2016-08-01,Monday,8
489_cloc,22,2016-07-28,Thursday,7
489_cloc,22,2016-07-18,Monday,7
489_cloc,22,2016-08-05,Friday,8
489_cloc,22,2016-12-31,Saturday,12
